id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email
73764,https://dadosabertos.camara.leg.br/api/v2/deputados/73764,ABELARDO LUPION,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790,PR,52,https://www.camara.leg.br/internet/deputado/bandep/73764.jpg,
73886,https://dadosabertos.camara.leg.br/api/v2/deputados/73886,ADÃO PRETTO,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RS,52,https://www.camara.leg.br/internet/deputado/bandep/73886.jpg,
74328,https://dadosabertos.camara.leg.br/api/v2/deputados/74328,ADAUTO PEREIRA,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790,PB,52,https://www.camara.leg.br/internet/deputado/bandep/74328.jpg,
74386,https://dadosabertos.camara.leg.br/api/v2/deputados/74386,ADELOR VIEIRA,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,SC,52,https://www.camara.leg.br/internet/deputado/bandep/74386.jpg,
133374,https://dadosabertos.camara.leg.br/api/v2/deputados/133374,ADEMIR CAMILO,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,MG,52,https://www.camara.leg.br/internet/deputado/bandep/133374.jpg,
73765,https://dadosabertos.camara.leg.br/api/v2/deputados/73765,AFFONSO CAMARGO,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,PR,52,https://www.camara.leg.br/internet/deputado/bandep/73765.jpg,
136811,https://dadosabertos.camara.leg.br/api/v2/deputados/136811,AFONSO HAMM,PPB,https://dadosabertos.camara.leg.br/api/v2/partidos/36809,RS,52,https://www.camara.leg.br/internet/deputado/bandep/136811.jpg,
74358,https://dadosabertos.camara.leg.br/api/v2/deputados/74358,AGNALDO MUNIZ,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36809,RO,52,https://www.camara.leg.br/internet/deputado/bandep/74358.jpg,
73654,https://dadosabertos.camara.leg.br/api/v2/deputados/73654,AGNELO QUEIROZ,PCdoB,https://dadosabertos.camara.leg.br/api/v2/partidos/36779,DF,52,https://www.camara.leg.br/internet/deputado/bandep/73654.jpg,
73457,https://dadosabertos.camara.leg.br/api/v2/deputados/73457,AIRTON ROVEDA,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36813,PR,52,https://www.camara.leg.br/internet/deputado/bandep/73457.jpg,
