id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email
204554,https://dadosabertos.camara.leg.br/api/v2/deputados/204554,Abílio Santana,PHS,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,BA,56,https://www.camara.leg.br/internet/deputado/bandep/204554.jpg,
204521,https://dadosabertos.camara.leg.br/api/v2/deputados/204521,Abou Anni,PSL,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,SP,56,https://www.camara.leg.br/internet/deputado/bandep/204521.jpg,
204379,https://dadosabertos.camara.leg.br/api/v2/deputados/204379,Acácio Favacho,PROS,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,AP,56,https://www.camara.leg.br/internet/deputado/bandep/204379.jpg,
204560,https://dadosabertos.camara.leg.br/api/v2/deputados/204560,Adolfo Viana,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,BA,56,https://www.camara.leg.br/internet/deputado/bandep/204560.jpg,
204528,https://dadosabertos.camara.leg.br/api/v2/deputados/204528,Adriana Ventura,NOVO,https://dadosabertos.camara.leg.br/api/v2/partidos/37901,SP,56,https://www.camara.leg.br/internet/deputado/bandep/204528.jpg,
121948,https://dadosabertos.camara.leg.br/api/v2/deputados/121948,ADRIANO DO BALDY,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,GO,56,https://www.camara.leg.br/internet/deputado/bandep/121948.jpg,
74646,https://dadosabertos.camara.leg.br/api/v2/deputados/74646,Aécio Neves,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MG,56,https://www.camara.leg.br/internet/deputado/bandep/74646.jpg,
141372,https://dadosabertos.camara.leg.br/api/v2/deputados/141372,Aelton Freitas,PR,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,MG,56,https://www.camara.leg.br/internet/deputado/bandep/141372.jpg,
160508,https://dadosabertos.camara.leg.br/api/v2/deputados/160508,Afonso Florence,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,BA,56,https://www.camara.leg.br/internet/deputado/bandep/160508.jpg,
136811,https://dadosabertos.camara.leg.br/api/v2/deputados/136811,Afonso Hamm,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,RS,56,https://www.camara.leg.br/internet/deputado/bandep/136811.jpg,
178835,https://dadosabertos.camara.leg.br/api/v2/deputados/178835,Afonso Motta,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,RS,56,https://www.camara.leg.br/internet/deputado/bandep/178835.jpg,
160527,https://dadosabertos.camara.leg.br/api/v2/deputados/160527,Aguinaldo Ribeiro,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,PB,56,https://www.camara.leg.br/internet/deputado/bandep/160527.jpg,
204495,https://dadosabertos.camara.leg.br/api/v2/deputados/204495,AIRTON FALEIRO,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,PA,56,https://www.camara.leg.br/internet/deputado/bandep/204495.jpg,
204549,https://dadosabertos.camara.leg.br/api/v2/deputados/204549,AJ Albuquerque,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,CE,56,https://www.camara.leg.br/internet/deputado/bandep/204549.jpg,
178836,https://dadosabertos.camara.leg.br/api/v2/deputados/178836,Alan Rick,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,AC,56,https://www.camara.leg.br/internet/deputado/bandep/178836.jpg,
160559,https://dadosabertos.camara.leg.br/api/v2/deputados/160559,Alceu Moreira,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,RS,56,https://www.camara.leg.br/internet/deputado/bandep/160559.jpg,
204413,https://dadosabertos.camara.leg.br/api/v2/deputados/204413,Alcides Rodrigues,PRP,https://dadosabertos.camara.leg.br/api/v2/partidos/37907,GO,56,https://www.camara.leg.br/internet/deputado/bandep/204413.jpg,
204545,https://dadosabertos.camara.leg.br/api/v2/deputados/204545,Alê Silva,PSL,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,MG,56,https://www.camara.leg.br/internet/deputado/bandep/204545.jpg,
204501,https://dadosabertos.camara.leg.br/api/v2/deputados/204501,Alencar Santana,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SP,56,https://www.camara.leg.br/internet/deputado/bandep/204501.jpg,
