id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email
141501,https://dadosabertos.camara.leg.br/api/v2/deputados/141501,CIDA DIOGO,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RJ,53,https://www.camara.leg.br/internet/deputado/bandep/141501.jpg,
141406,https://dadosabertos.camara.leg.br/api/v2/deputados/141406,CIRO GOMES,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,CE,53,https://www.camara.leg.br/internet/deputado/bandep/141406.jpg,
74313,https://dadosabertos.camara.leg.br/api/v2/deputados/74313,CIRO NOGUEIRA,PP**,https://dadosabertos.camara.leg.br/api/v2/partidos/36809,PI,53,https://www.camara.leg.br/internet/deputado/bandep/74313.jpg,
141407,https://dadosabertos.camara.leg.br/api/v2/deputados/141407,CIRO PEDROSA,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,MG,53,https://www.camara.leg.br/internet/deputado/bandep/141407.jpg,
74537,https://dadosabertos.camara.leg.br/api/v2/deputados/74537,CLAUDIO CAJADO,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,BA,53,https://www.camara.leg.br/internet/deputado/bandep/74537.jpg,
141057,https://dadosabertos.camara.leg.br/api/v2/deputados/141057,CLAUDIO DIAZ,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,RS,53,https://www.camara.leg.br/internet/deputado/bandep/141057.jpg,
74263,https://dadosabertos.camara.leg.br/api/v2/deputados/74263,CLÁUDIO MAGRÃO,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36813,SP,53,https://www.camara.leg.br/internet/deputado/bandep/74263.jpg,
141408,https://dadosabertos.camara.leg.br/api/v2/deputados/141408,CLEBER VERDE,PAN,https://dadosabertos.camara.leg.br/api/v2/partidos/36815,MA,53,https://www.camara.leg.br/internet/deputado/bandep/141408.jpg,
141409,https://dadosabertos.camara.leg.br/api/v2/deputados/141409,CLODOVIL HERNANDES,PTC,https://dadosabertos.camara.leg.br/api/v2/partidos/36814,SP,53,https://www.camara.leg.br/internet/deputado/bandep/141409.jpg,
74026,https://dadosabertos.camara.leg.br/api/v2/deputados/74026,CLÓVIS FECURY,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,MA,53,https://www.camara.leg.br/internet/deputado/bandep/74026.jpg,
